0,Info,5/01/2023 17:13,Service 'ymaze_inLT' : Execution start,,
145.718,Info,Arena,7,Enter_Zone,2
147.92,Info,Arena,5,Exit_Zone,2
147.92,Info,Arena,5,Enter_Zone,4
147.989,Info,Arena,6,Exit_Zone,3
147.989,Info,Arena,6,Enter_Zone,4
148.202,Info,Arena,7,Exit_Zone,2
148.202,Info,Arena,7,Enter_Zone,4
148.273,Info,Arena,5,Exit_Zone,4
148.273,Info,Arena,5,Enter_Zone,3
148.417,Info,Arena,6,Exit_Zone,4
148.417,Info,Arena,6,Enter_Zone,1
148.526,Info,Arena,6,Exit_Zone,1
148.526,Info,Arena,6,Enter_Zone,4
148.56,Info,Arena,7,Exit_Zone,4
148.56,Info,Arena,7,Enter_Zone,3
148.609,Info,Arena,6,Exit_Zone,4
148.609,Info,Arena,6,Enter_Zone,1
148.744,Info,Arena,7,Exit_Zone,3
148.744,Info,Arena,7,Enter_Zone,4
148.85,Info,Arena,7,Exit_Zone,4
148.85,Info,Arena,7,Enter_Zone,2
149.193,Info,Arena,3,Exit_Zone,1
149.193,Info,Arena,3,Enter_Zone,4
149.433,Info,Arena,3,Exit_Zone,4
149.433,Info,Arena,3,Enter_Zone,3
150.773,Info,Arena,6,Exit_Zone,1
150.773,Info,Arena,6,Enter_Zone,4
150.969,Info,Arena,6,Exit_Zone,4
