"","fish_id","bin","LLLL","LLLR","LLRL","LLRR","LRLL","LRLR","LRRL","LRRR","RLLL","RLLR","RLRL","RLRR","RRLL","RRLR","RRRL","RRRR","L","R","total_turns","reps","alts","rel_reps","rel_alts","rel_R","rel_L"
"159","33","3",0,1,1,4,3,6,3,7,1,4,8,5,2,8,7,22,26,59,85,22,14,25.8823529411765,16.4705882352941,69.4117647058823,30.5882352941176
"160","33","4",0,0,4,1,4,9,5,4,0,5,9,8,1,8,4,7,29,43,72,7,18,9.72222222222222,25,59.7222222222222,40.2777777777778
"161","33","5",1,2,3,4,5,7,1,7,2,5,9,4,2,5,6,15,30,51,81,16,16,19.7530864197531,19.7530864197531,62.962962962963,37.037037037037
"162","33","6",2,3,2,3,2,3,0,5,2,2,3,2,2,2,5,2,21,22,43,4,6,9.30232558139535,13.953488372093,51.1627906976744,48.8372093023256
"163","34","1",19,10,12,9,14,6,6,9,11,11,8,6,7,8,9,12,88,72,160,31,14,19.375,8.75,45,55
"164","34","2",5,6,12,7,13,15,9,5,6,13,16,7,7,7,5,2,74,64,138,7,31,5.07246376811594,22.463768115942,46.3768115942029,53.6231884057971
"165","34","3",18,11,8,7,9,10,6,6,11,4,10,6,6,6,6,2,76,53,129,20,20,15.5038759689922,15.5038759689922,41.0852713178295,58.9147286821705
"166","34","4",45,11,8,7,6,4,7,2,10,4,3,2,8,1,2,0,92,31,123,45,7,36.5853658536585,5.69105691056911,25.2032520325203,74.7967479674797
"167","34","5",41,11,7,7,9,2,6,2,12,3,3,1,6,2,2,1,88,30,118,42,5,35.5932203389831,4.23728813559322,25.4237288135593,74.5762711864407
"168","34","6",30,12,14,2,13,7,2,2,13,4,6,2,3,1,2,1,85,32,117,31,13,26.4957264957265,11.1111111111111,27.3504273504273,72.6495726495726
"169","35","1",8,5,6,3,7,4,2,2,6,4,5,1,2,2,2,1,40,23,63,9,9,14.2857142857143,14.2857142857143,36.5079365079365,63.4920634920635
"170","35","2",11,5,9,3,6,11,2,5,5,6,8,4,5,2,5,6,53,43,96,17,19,17.7083333333333,19.7916666666667,44.7916666666667,55.2083333333333
"171","35","3",7,4,7,2,7,10,5,3,4,5,10,6,2,6,3,0,46,38,84,7,20,8.33333333333333,23.8095238095238,45.2380952380952,54.7619047619048
